시도,시군구,총계-개소수(개소),총계-이용량(톤),국가공단-개소수(개소),국가공단-이용량(톤),지방공단-개소수(개소),지방공단-이용량(톤),농공단지-개소수(개소),농공단지-이용량(톤),자유입지업체-개소수(개소),자유입지업체-이용량(톤),기타-개소수(개소),기타-이용량(톤)
경기도,성남시,13,1000,0,0,0,0,0,0,0,0,13,1000
경기도,수원시,41,588478,0,0,0,0,0,0,5,231068,36,357410
경기도,시흥시,9,70453,2,18250,0,0,0,0,1,25550,6,26653
경기도,안산시,10,60077,6,37427,0,0,0,0,0,0,4,22650
경기도,안성시,144,1381539,1,2500,17,145569,8,90460,60,653168,58,489842
경기도,안양시,28,363210,0,0,0,0,0,0,21,262271,7,100939
경기도,양주시,488,2882198,0,0,4,9741,6,41853,441,2743379,37,87225
경기도,양평군,26,251699,0,0,0,0,1,4200,10,107540,15,139959
경기도,여주시,210,3002143,2,54750,0,0,0,0,93,1285181,115,1662212
경기도,연천군,36,418726,0,0,1,18250,0,0,27,356363,8,44113
경기도,오산시,14,420592,1,1156,0,0,0,0,8,406790,5,12646
경기도,용인시,73,668447,0,0,0,0,0,0,23,98130,50,570317
경기도,의왕시,80,92916,0,0,0,0,0,0,3,2895,77,90021
경기도,의정부시,6,40418,0,0,3,11315,0,0,0,0,3,29103
경기도,이천시,147,1717040,0,0,3,102200,1,109500,128,1368090,15,137250
경기도,파주시,239,2390749,0,0,14,58647,1,365,96,1191972,128,1139765
경기도,평택시,236,4099013,0,0,43,926168,1,0,117,2737228,75,435617
경기도,포천시,116,1264004,0,0,1,0,0,0,76,942411,39,321593
경기도,하남시,40,1615032,0,0,5,74093,0,0,1,501875,34,1039064
경기도,화성시,310,2771472,0,0,13,183344,1,7300,122,622813,174,1958015
경상남도,거제시,32,100376,0,0,0,0,0,0,25,65454,7,34922
경상남도,거창군,48,844025,0,0,0,0,5,96125,4,130070,39,617830
경상남도,고성군,46,314554,0,0,4,2555,8,106835,18,123040,16,82124
경상남도,김해시,246,1802288,0,0,10,107799,16,252935,183,1344939,37,96615
경상남도,남해군,4,39150,0,0,0,0,0,0,4,39150,0,0
경상남도,밀양시,70,262042,1,1801,3,6302,6,31741,22,85643,38,136555
경상남도,사천시,92,1022093,0,0,2,7373,8,111060,71,810306,11,93354
경상남도,산청군,49,588948,0,0,1,35770,10,204752,28,280530,10,67896
경상남도,양산시,247,1470968,0,0,82,667579,2,27000,113,654691,50,121698
경상남도,의령군,49,1308654,0,0,2,18250,22,952712,9,189678,16,148014
경상남도,진주시,119,1509985,8,183697,54,760924,3,25231,36,332725,18,207408
경상남도,창녕군,74,1413607,0,0,3,118646,3,56350,48,1018170,20,220441
경상남도,창원시,147,1598388,27,706629,10,192927,1,24000,82,443589,27,231243
경상남도,통영시,10,51893,0,0,1,17520,0,0,5,21392,4,12981
경상남도,하동군,23,189657,0,0,0,0,1,360,15,145512,7,43785
경상남도,함안군,189,2823222,0,0,3,154030,10,463550,147,1896344,29,309298
경상남도,함양군,59,574368,0,0,0,0,15,174067,18,208296,26,192005
경상남도,합천군,45,701783,0,0,1,1646,20,526962,3,33391,21,139784
경상북도,경산시,106,3295501,0,0,20,610437,1,51100,27,823758,58,1810206
경상북도,경주시,136,1692645,2,79000,70,462028,4,31800,47,999287,13,120530
경상북도,고령군,101,1722062,0,0,10,199740,26,577965,27,525930,38,418427
경상북도,구미시,115,2062640,70,1205187,3,89810,7,108020,23,535590,12,124033
경상북도,군위군,29,972410,0,0,0,0,11,292000,8,240535,10,439875
경상북도,김천시,121,1050496,0,0,72,484273,4,36800,2,11250,43,518173
경상북도,문경시,26,325572,0,0,1,21900,5,36270,6,94967,14,172435
경상북도,봉화군,19,371532,1,1445,0,0,8,234477,2,34375,8,101235
경상북도,상주시,46,384764,0,0,2,300,12,137455,6,83700,26,163309
경상북도,성주군,129,2554838,1,10800,37,472232,6,977550,54,605980,31,488276
경상북도,안동시,67,1873726,0,0,4,77018,5,257325,11,247870,47,1291513
경상북도,영덕군,56,756524,1,27000,0,0,5,78895,2,37200,48,613429
경상북도,영양군,18,336065,0,0,0,0,0,0,5,88560,13,247505
경상북도,영주시,65,1004166,0,0,0,0,27,244038,7,50882,31,709246
경상북도,영천시,236,7458206,1,32850,25,387511,24,903451,118,4648267,68,1486127
경상북도,예천군,25,304648,0,0,0,0,6,115700,12,116150,7,72798
경상북도,울릉군,1,2500,0,0,0,0,0,0,1,2500,0,0
경상북도,울진군,35,221465,0,0,2,2880,5,11944,6,39310,22,167331
경상북도,의성군,62,1413348,0,0,0,0,15,280674,7,90999,40,1041675
경상북도,청도군,20,992619,0,0,0,0,6,370316,8,468422,6,153881
경상북도,청송군,13,83340,0,0,7,0,0,0,0,0,6,83340
경상북도,칠곡군,140,2985633,4,160650,21,824250,1,10800,21,470253,93,1519680
경상북도,포항시,51,3442476,13,2676180,3,34443,0,0,13,272221,22,459632
광주광역시,광산구,104,1019171,5,36813,64,701568,0,0,28,265250,7,15540
광주광역시,남구,4,18834,0,0,3,15330,0,0,1,3504,0,0
광주광역시,동구,2,1595,0,0,0,0,0,0,0,0,2,1595
광주광역시,북구,44,62395,1,7300,6,20053,0,0,25,21007,12,14035
광주광역시,서구,26,846718,0,0,2,48666,0,0,4,0,20,798052
대구광역시,남구,1,2000,0,0,0,0,0,0,0,0,1,2000
대구광역시,달서구,27,107253,0,0,22,100345,0,0,3,880,2,6028
대구광역시,달성군,61,782972,0,0,24,395167,2,26924,34,360516,1,365
대구광역시,동구,38,247921,0,0,0,0,0,0,20,178380,18,69541
대구광역시,북구,36,592843,0,0,3,51475,0,0,0,0,33,541368
대구광역시,서구,18,316758,0,0,8,170646,0,0,1,1290,9,144822
대구광역시,수성구,8,87016,0,0,0,0,0,0,0,0,8,87016
대전광역시,대덕구,68,790361,0,0,27,496721,0,0,27,76335,14,217305
대전광역시,동구,33,68999,0,0,1,3600,0,0,8,35397,24,30002
대전광역시,서구,1,5781,0,0,0,0,0,0,0,0,1,5781
대전광역시,유성구,21,78635,0,0,3,30500,0,0,8,17803,10,30332
대전광역시,중구,80,246996,1,756,0,0,0,0,66,203268,13,42972
부산광역시,강서구,9,139640,0,0,0,0,0,0,4,73684,5,65956
부산광역시,금정구,13,69867,0,0,0,0,0,0,0,0,13,69867
부산광역시,기장군,59,257518,0,0,9,55378,4,15261,14,39050,32,147829
부산광역시,남구,12,17069,0,0,0,0,0,0,10,12689,2,4380
부산광역시,동래구,3,10389,0,0,0,0,0,0,2,6739,1,3650
